city,city_code,province,tier_group,tier_label,ntl_growth_rate,gdp_growth_rate,population_growth_rate,growth_intensity,growth_efficiency,coordination_index,edu_count,medical_count,commercial_count,support_index
株洲市,"430000000000",湖南省,T3,Third-tier Cities,3.5769,0.9779,-0.0045,1.51676666666667,,0.1953,"39","84","529","4.80146923905014"
桂林市,"450000000000",广西壮族自治区,T3,Third-tier Cities,2.4904,1.1381,0.0362,1.22156666666667,31.439226519337,0.2827,"19","5","257","3.44681710923455"
梅州市,"441000000000",广东省,T3,Third-tier Cities,2.3249,0.7974,0.0338,1.05203333333333,23.5917159763314,0.282,"17","150","505","4.71139608799952"
梧州市,"450000000000",广西壮族自治区,T3,Third-tier Cities,3.9804,1.546,0.0774,1.86793333333333,19.9741602067183,0.1914,"6","0","14","1.55132011671917"
楚雄彝族自治州,"532000000000",云南省,T3,Third-tier Cities,0.8578,,,,,,"2","0","11","1.1945063128187"
榆林市,"611000000000",陕西省,T3,Third-tier Cities,1.1844,1.5149,0.0304,0.9099,49.8322368421053,0.3625,"3","13","85","2.82656632899622"
武威市,"621000000000",甘肃省,T3,Third-tier Cities,1.4105,1.2564,-0.0211,0.881933333333333,-59.5450236966825,0.3564,"0","2","6","1.01484081257447"
武汉市,"420000000000",湖北省,T2,Second-tier Cities,1.8562,1.454,0.1488,1.153,9.77150537634409,0.3324,"137","42","846","5.14338483183427"
毕节市,"521000000000",贵州省,T3,Third-tier Cities,9.7085,1.6137,0.1072,3.8098,15.053171641791,0.0781,"3","0","2","0.828302216596"
永州市,"431000000000",湖南省,T3,Third-tier Cities,7.6501,1.2828,0.014,2.9823,,0.0968,"0","0","1","0.231049060186648"
汉中市,"611000000000",陕西省,T3,Third-tier Cities,2.6982,1.5987,-0.0138,1.4277,,0.2575,"6","7","8","2.07419208935712"
汕头市,"441000000000",广东省,T3,Third-tier Cities,1.865,1.1326,0.0865,1.02803333333333,13.0936416184971,0.3469,"10","13","81","3.14789061655929"
汕尾市,"442000000000",广东省,T3,Third-tier Cities,8.7951,1.1682,0.0253,3.32953333333333,46.1739130434783,0.0838,"0","0","8","0.732408192445407"
江门市,"441000000000",广东省,T3,Third-tier Cities,2.2244,0.9939,0.0286,1.0823,34.7517482517483,0.3045,"70","34","374","4.58165132150038"
池州市,"342000000000",安徽省,T3,Third-tier Cities,1.9972,1.4525,-0.0117,1.146,,0.3016,"3","0","2","0.828302216596"
沈阳市,"210000000000",辽宁省,T2,Second-tier Cities,0.4624,0.7509,0.0555,0.422933333333333,13.5297297297297,0.5764,"29","22","262","4.03628187658969"
沧州市,"131000000000",河北省,T3,Third-tier Cities,1.13,0.8239,0.0492,0.6677,16.7459349593496,0.447,"0","1","0","0.231049060186648"
河池市,"451000000000",广西壮族自治区,T3,Third-tier Cities,10.7912,1.6251,0.052,4.1561,31.2519230769231,0.0701,"0","0","0","0"
河源市,"442000000000",广东省,T3,Third-tier Cities,2.9137,1.2021,0.0448,1.38686666666667,26.8325892857143,0.2467,"3","0","5","1.05935127678265"
泉州市,"351000000000",福建省,T3,Third-tier Cities,0.9015,1.5141,0.1166,0.844066666666667,12.9854202401372,0.4073,"33","48","170","4.18661479307648"
泰安市,"371000000000",山东省,T3,Third-tier Cities,2.4836,1.0067,0.0109,1.16706666666667,,0.2752,"0","8","132","2.36252456851932"
泰州市,"321000000000",江苏省,T3,Third-tier Cities,2.0442,1.4704,-0.0363,1.15943333333333,-40.5068870523416,0.2949,"1","0","12","1.08603217934049"
泸州市,"511000000000",四川省,T3,Third-tier Cities,18.4563,1.5994,-0.0024,6.68443333333333,,0.0407,"0","1","5","0.828302216596"
洛阳市,"410000000000",河南省,T3,Third-tier Cities,1.0928,0.9574,0.0624,0.7042,15.3429487179487,0.4379,"91","21","343","4.48449089592692"
济南市,"370000000000",山东省,T2,Second-tier Cities,0.4817,1.2561,0.346,0.6946,3.63034682080925,0.471,"19","29","627","4.27982327389478"
济宁市,"371000000000",山东省,T3,Third-tier Cities,1.7758,0.9019,0.0483,0.908666666666667,18.6728778467909,0.3657,"1","2","11","1.42555537300535"
海东市,"630000000000",青海省,T3,Third-tier Cities,21.8114,1.053,,,,,"4","0","0","0.5364793041447"
海北藏族自治州,"632000000000",青海省,T3,Third-tier Cities,1.0914,,,,,,"0","0","2","0.366204096222703"
海南藏族自治州,"633000000000",青海省,T3,Third-tier Cities,0.8343,0.9192,,,,,"0","0","3","0.462098120373297"
海口市,"460000000000",海南省,T2,Second-tier Cities,1.6929,1.5195,0.3676,1.19333333333333,4.1335690968444,0.3771,"11","3","88","2.78661246021334"
海西蒙古族藏族自治州,"633000000000",青海省,T3,Third-tier Cities,1.0556,,,,,,"0","0","2","0.366204096222703"
淄博市,"370000000000",山东省,T3,Third-tier Cities,1.1684,0.2377,0.0172,0.474433333333333,,0.4188,"6","7","75","2.78536167700716"
淮北市,"341000000000",安徽省,T3,Third-tier Cities,2.0167,1.0479,-0.0014,1.02106666666667,,0.3284,"6","0","6","1.29727343270354"
淮南市,"340000000000",安徽省,T3,Third-tier Cities,1.6376,0.7542,0.5915,0.994433333333333,1.27506339814032,0.4374,"0","4","18","1.51795896386685"
淮安市,"321000000000",江苏省,T3,Third-tier Cities,2.5493,1.4497,0.0077,1.33556666666667,,0.2735,"8","2","35","2.29311860148681"
