city,city_code,province,tier_group,tier_label,year,ntl_value,ntl_index,gdp_value,gdp_index,population_value,population_index
湖州市,"331000000000",浙江省,T3,Third-tier Cities,"2016",5752,205.5,23911367,136.78,265,101.38
湖州市,"331000000000",浙江省,T3,Third-tier Cities,"2017",7285,260.27,26078618,149.18,266,101.76
湖州市,"331000000000",浙江省,T3,Third-tier Cities,"2018",7686,274.6,28812134,164.82,267,102.14
湖州市,"331000000000",浙江省,T3,Third-tier Cities,"2019",8292,296.25,31222745,178.61,268,102.52
湖州市,"331000000000",浙江省,T3,Third-tier Cities,"2020",9071,324.08,32039027,183.28,0,0
湖州市,"331000000000",浙江省,T3,Third-tier Cities,"2021",10585,378.17,36459189,208.56,269,102.91
湖州市,"331000000000",浙江省,T3,Third-tier Cities,"2022",11288,403.29,38496123,220.22,269,102.91
湘潭市,"430000000000",湖南省,T3,Third-tier Cities,"2012",1731,100,12389800,100,291.8,100
湘潭市,"430000000000",湖南省,T3,Third-tier Cities,"2013",7530,435.01,13897400,112.17,289.9,99.35
湘潭市,"430000000000",湖南省,T3,Third-tier Cities,"2014",7249,418.78,15034900,121.35,291.5,99.9
湘潭市,"430000000000",湖南省,T3,Third-tier Cities,"2015",7657,442.35,16330700,131.81,289.29,99.14
湘潭市,"430000000000",湖南省,T3,Third-tier Cities,"2016",8820,509.53,17620200,142.22,290,99.38
湘潭市,"430000000000",湖南省,T3,Third-tier Cities,"2017",10443,603.29,19304300,155.81,288,98.7
湘潭市,"430000000000",湖南省,T3,Third-tier Cities,"2018",11267,650.9,20825200,168.08,289,99.04
湘潭市,"430000000000",湖南省,T3,Third-tier Cities,"2019",10979,634.26,22558500,182.07,289,99.04
湘潭市,"430000000000",湖南省,T3,Third-tier Cities,"2020",9884,571,22865100,184.55,0,0
湘潭市,"430000000000",湖南省,T3,Third-tier Cities,"2021",10064,581.4,25182300,203.25,282,96.64
湘潭市,"430000000000",湖南省,T3,Third-tier Cities,"2022",10139,585.73,26340500,212.6,280,95.96
湘西土家族苗族自治州,"433000000000",湖南省,T3,Third-tier Cities,"2012",199,100,,,,
湘西土家族苗族自治州,"433000000000",湖南省,T3,Third-tier Cities,"2013",1154,579.9,,,,
湘西土家族苗族自治州,"433000000000",湖南省,T3,Third-tier Cities,"2014",993,498.99,,,,
湘西土家族苗族自治州,"433000000000",湖南省,T3,Third-tier Cities,"2015",854,429.15,,,,
湘西土家族苗族自治州,"433000000000",湖南省,T3,Third-tier Cities,"2016",1008,506.53,,,,
湘西土家族苗族自治州,"433000000000",湖南省,T3,Third-tier Cities,"2017",1694,851.26,,,,
湘西土家族苗族自治州,"433000000000",湖南省,T3,Third-tier Cities,"2018",2076,1043.22,,,,
湘西土家族苗族自治州,"433000000000",湖南省,T3,Third-tier Cities,"2019",2156,1083.42,,,,
湘西土家族苗族自治州,"433000000000",湖南省,T3,Third-tier Cities,"2020",2271,1141.21,,,,
湘西土家族苗族自治州,"433000000000",湖南省,T3,Third-tier Cities,"2021",2455,1233.67,,,,
湘西土家族苗族自治州,"433000000000",湖南省,T3,Third-tier Cities,"2022",2948,1481.41,,,,
湛江市,"441000000000",广东省,T3,Third-tier Cities,"2012",2545,100,18457000,100,785.2,100
湛江市,"441000000000",广东省,T3,Third-tier Cities,"2013",5980,234.97,20318000,110.08,804.2,102.42
湛江市,"441000000000",广东省,T3,Third-tier Cities,"2014",5437,213.63,22018800,119.3,819,104.3
湛江市,"441000000000",广东省,T3,Third-tier Cities,"2015",4601,180.79,23194900,125.67,822.96,104.81
湛江市,"441000000000",广东省,T3,Third-tier Cities,"2016",4582,180.04,24872500,134.76,835,106.34
湛江市,"441000000000",广东省,T3,Third-tier Cities,"2017",5446,213.99,27449800,148.72,839,106.85
湛江市,"441000000000",广东省,T3,Third-tier Cities,"2018",6298,247.47,29444800,159.53,848,108
湛江市,"441000000000",广东省,T3,Third-tier Cities,"2019",6848,269.08,30559000,165.57,854,108.76
湛江市,"441000000000",广东省,T3,Third-tier Cities,"2020",7024,275.99,31033200,168.14,0,0
湛江市,"441000000000",广东省,T3,Third-tier Cities,"2021",8744,343.58,35654600,193.18,866,110.29
湛江市,"441000000000",广东省,T3,Third-tier Cities,"2022",8899,349.67,37108200,201.05,869,110.67
滁州市,"341000000000",安徽省,T3,Third-tier Cities,"2012",2695,100,12124500,100,452.1,100
滁州市,"341000000000",安徽省,T3,Third-tier Cities,"2013",7173,266.16,14188900,117.03,449.5,99.42
滁州市,"341000000000",安徽省,T3,Third-tier Cities,"2014",6590,244.53,15964500,131.67,449.6,99.45
滁州市,"341000000000",安徽省,T3,Third-tier Cities,"2015",7063,262.08,18122800,149.47,449.06,99.33
滁州市,"341000000000",安徽省,T3,Third-tier Cities,"2016",7569,280.85,20359400,167.92,454,100.42
滁州市,"341000000000",安徽省,T3,Third-tier Cities,"2017",9404,348.94,22820100,188.21,454,100.42
滁州市,"341000000000",安徽省,T3,Third-tier Cities,"2018",10321,382.97,25940700,213.95,454,100.42
滁州市,"341000000000",安徽省,T3,Third-tier Cities,"2019",11417,423.64,28887000,238.25,455,100.64
滁州市,"341000000000",安徽省,T3,Third-tier Cities,"2020",12729,472.32,29468400,243.05,0,0
滁州市,"341000000000",安徽省,T3,Third-tier Cities,"2021",13298,493.43,33421100,275.65,454,100.42
滁州市,"341000000000",安徽省,T3,Third-tier Cities,"2022",14661,544.01,35649900,294.03,454,100.42
滨州市,"372000000000",山东省,T3,Third-tier Cities,"2012",4949,100,15890100,100,380.9,100
滨州市,"372000000000",山东省,T3,Third-tier Cities,"2013",6162,124.51,17718400,111.51,381.6,100.18
滨州市,"372000000000",山东省,T3,Third-tier Cities,"2014",6093,123.12,19617000,123.45,386.7,101.52
滨州市,"372000000000",山东省,T3,Third-tier Cities,"2015",6332,127.95,21470000,135.12,389.07,102.14
滨州市,"372000000000",山东省,T3,Third-tier Cities,"2016",6616,133.68,21885700,137.73,392,102.91
滨州市,"372000000000",山东省,T3,Third-tier Cities,"2017",8069,163.04,22892900,144.07,394,103.44
滨州市,"372000000000",山东省,T3,Third-tier Cities,"2018",8570,173.17,23325600,146.79,397,104.23
滨州市,"372000000000",山东省,T3,Third-tier Cities,"2019",8801,177.83,24571900,154.64,398,104.49
滨州市,"372000000000",山东省,T3,Third-tier Cities,"2020",9734,196.69,25378500,159.71,0,0
滨州市,"372000000000",山东省,T3,Third-tier Cities,"2021",11057,223.42,28721100,180.75,397,104.23
滨州市,"372000000000",山东省,T3,Third-tier Cities,"2022",11384,230.03,29751500,187.23,395,103.7
漯河市,"411000000000",河南省,T3,Third-tier Cities,"2012",2347,100,7971200,100,275,100
漯河市,"411000000000",河南省,T3,Third-tier Cities,"2013",3875,165.1,8615400,108.08,274.2,99.71
漯河市,"411000000000",河南省,T3,Third-tier Cities,"2014",4391,187.09,9411600,118.07,266.7,96.98
漯河市,"411000000000",河南省,T3,Third-tier Cities,"2015",5816,247.81,9925900,124.52,268.04,97.47
漯河市,"411000000000",河南省,T3,Third-tier Cities,"2016",6295,268.21,10819300,135.73,269,97.82
漯河市,"411000000000",河南省,T3,Third-tier Cities,"2017",6437,274.27,11650400,146.16,267,97.09
漯河市,"411000000000",河南省,T3,Third-tier Cities,"2018",7154,304.81,14359000,180.14,267,97.09
漯河市,"411000000000",河南省,T3,Third-tier Cities,"2019",8158,347.59,15497700,194.42,268,97.45
