year,city,population,corridor_id,corridor_nm,node_type
"2015",湘潭市,"289.29",KG,Beijing-Guangzhou,middle
"2016",湘潭市,"290",KG,Beijing-Guangzhou,middle
"2017",湘潭市,"288",KG,Beijing-Guangzhou,middle
"2018",湘潭市,"289",KG,Beijing-Guangzhou,middle
"2019",湘潭市,"289",KG,Beijing-Guangzhou,middle
"2020",湘潭市,,KG,Beijing-Guangzhou,middle
"2021",湘潭市,"282",KG,Beijing-Guangzhou,middle
"2022",湘潭市,"280",KG,Beijing-Guangzhou,middle
"2012",衡阳市,"800.2",KG,Beijing-Guangzhou,middle
"2013",衡阳市,"785.9",KG,Beijing-Guangzhou,middle
"2014",衡阳市,"791.5",KG,Beijing-Guangzhou,middle
"2015",衡阳市,"799.27",KG,Beijing-Guangzhou,middle
"2016",衡阳市,"799",KG,Beijing-Guangzhou,middle
"2017",衡阳市,"800",KG,Beijing-Guangzhou,middle
"2018",衡阳市,"801",KG,Beijing-Guangzhou,middle
"2019",衡阳市,"797",KG,Beijing-Guangzhou,middle
"2020",衡阳市,,KG,Beijing-Guangzhou,middle
"2021",衡阳市,"785",KG,Beijing-Guangzhou,middle
"2022",衡阳市,"778",KG,Beijing-Guangzhou,middle
"2012",岳阳市,"573",KG,Beijing-Guangzhou,middle
"2013",岳阳市,"560",KG,Beijing-Guangzhou,middle
"2014",岳阳市,"563.3",KG,Beijing-Guangzhou,middle
"2015",岳阳市,"564.39",KG,Beijing-Guangzhou,middle
"2016",岳阳市,"571",KG,Beijing-Guangzhou,middle
"2017",岳阳市,"567",KG,Beijing-Guangzhou,middle
"2018",岳阳市,"569",KG,Beijing-Guangzhou,middle
"2019",岳阳市,"570",KG,Beijing-Guangzhou,middle
"2020",岳阳市,,KG,Beijing-Guangzhou,middle
"2021",岳阳市,"562",KG,Beijing-Guangzhou,middle
"2022",岳阳市,"558",KG,Beijing-Guangzhou,middle
"2012",郴州市,"509.8",KG,Beijing-Guangzhou,middle
"2013",郴州市,"512.1",KG,Beijing-Guangzhou,middle
"2014",郴州市,"518.8",KG,Beijing-Guangzhou,middle
"2015",郴州市,"528.27",KG,Beijing-Guangzhou,middle
"2016",郴州市,"535",KG,Beijing-Guangzhou,middle
"2017",郴州市,"534",KG,Beijing-Guangzhou,middle
"2018",郴州市,"535",KG,Beijing-Guangzhou,middle
"2019",郴州市,"534",KG,Beijing-Guangzhou,middle
"2020",郴州市,,KG,Beijing-Guangzhou,middle
"2021",郴州市,"527",KG,Beijing-Guangzhou,middle
"2022",郴州市,"525",KG,Beijing-Guangzhou,middle
"2012",广州市,"822.3",GS,Guangzhou-Shenzhen,core
"2013",广州市,"832.3",GS,Guangzhou-Shenzhen,core
"2014",广州市,"842.4",GS,Guangzhou-Shenzhen,core
"2015",广州市,"854.19",GS,Guangzhou-Shenzhen,core
"2016",广州市,"870",GS,Guangzhou-Shenzhen,core
"2017",广州市,"898",GS,Guangzhou-Shenzhen,core
"2018",广州市,"928",GS,Guangzhou-Shenzhen,core
"2019",广州市,"954",GS,Guangzhou-Shenzhen,core
"2020",广州市,,GS,Guangzhou-Shenzhen,core
"2021",广州市,"1012",GS,Guangzhou-Shenzhen,core
"2022",广州市,"1035",GS,Guangzhou-Shenzhen,core
"2012",韶关市,"326.5",KG,Beijing-Guangzhou,core
"2013",韶关市,"328",KG,Beijing-Guangzhou,core
"2014",韶关市,"329.1",KG,Beijing-Guangzhou,core
"2015",韶关市,"330.21",KG,Beijing-Guangzhou,core
"2016",韶关市,"334",KG,Beijing-Guangzhou,core
"2017",韶关市,"335",KG,Beijing-Guangzhou,core
"2018",韶关市,"337",KG,Beijing-Guangzhou,core
"2019",韶关市,"337",KG,Beijing-Guangzhou,core
"2020",韶关市,,KG,Beijing-Guangzhou,core
"2021",韶关市,"337",KG,Beijing-Guangzhou,core
"2022",韶关市,"337",KG,Beijing-Guangzhou,core
"2012",深圳市,"287.6",GS,Guangzhou-Shenzhen,core
"2013",深圳市,"310.5",GS,Guangzhou-Shenzhen,core
"2014",深圳市,"332.2",GS,Guangzhou-Shenzhen,core
"2015",深圳市,"354.99",GS,Guangzhou-Shenzhen,core
"2016",深圳市,"385",GS,Guangzhou-Shenzhen,core
"2017",深圳市,"435",GS,Guangzhou-Shenzhen,core
"2018",深圳市,"455",GS,Guangzhou-Shenzhen,core
"2019",深圳市,"551",GS,Guangzhou-Shenzhen,core
"2020",深圳市,,GS,Guangzhou-Shenzhen,core
"2021",深圳市,"631",GS,Guangzhou-Shenzhen,core
"2022",深圳市,"658",GS,Guangzhou-Shenzhen,core
"2012",东莞市,"187",GS,Guangzhou-Shenzhen,middle
"2013",东莞市,"188.9",GS,Guangzhou-Shenzhen,middle
"2014",东莞市,"191.4",GS,Guangzhou-Shenzhen,middle
"2015",东莞市,"195.01",GS,Guangzhou-Shenzhen,middle
"2016",东莞市,"201",GS,Guangzhou-Shenzhen,middle
"2017",东莞市,"211",GS,Guangzhou-Shenzhen,middle
"2018",东莞市,"232",GS,Guangzhou-Shenzhen,middle
"2019",东莞市,"251",GS,Guangzhou-Shenzhen,middle
"2020",东莞市,,GS,Guangzhou-Shenzhen,middle
"2021",东莞市,"279",GS,Guangzhou-Shenzhen,middle
"2022",东莞市,"292",GS,Guangzhou-Shenzhen,middle
"2012",重庆市,"3343.4",CY,Chengdu-Chongqing,core
"2013",重庆市,"3358.4",CY,Chengdu-Chongqing,core
"2014",重庆市,"3375.2",CY,Chengdu-Chongqing,core
"2015",重庆市,"3371.84",CY,Chengdu-Chongqing,core
"2016",重庆市,"3392",CY,Chengdu-Chongqing,core
"2017",重庆市,"3390",CY,Chengdu-Chongqing,core
"2018",重庆市,"3404",CY,Chengdu-Chongqing,core
"2019",重庆市,"3416",CY,Chengdu-Chongqing,core
"2020",重庆市,,CY,Chengdu-Chongqing,core
"2021",重庆市,"3415",CY,Chengdu-Chongqing,core
"2022",重庆市,"3414",CY,Chengdu-Chongqing,core
"2012",成都市,"1173.3",CY,Chengdu-Chongqing,core
"2013",成都市,"1188",CY,Chengdu-Chongqing,core
"2014",成都市,"1210.7",CY,Chengdu-Chongqing,core
"2015",成都市,"1228.05",CY,Chengdu-Chongqing,core
"2016",成都市,"1399",CY,Chengdu-Chongqing,core
"2017",成都市,"1435",CY,Chengdu-Chongqing,core
"2018",成都市,"1476",CY,Chengdu-Chongqing,core
"2019",成都市,"1500",CY,Chengdu-Chongqing,core
"2020",成都市,,CY,Chengdu-Chongqing,core
"2021",成都市,"1556",CY,Chengdu-Chongqing,core
"2022",成都市,"1572",CY,Chengdu-Chongqing,core
"2012",内江市,"426.6",CY,Chengdu-Chongqing,middle
"2013",内江市,"426.8",CY,Chengdu-Chongqing,middle
"2014",内江市,"426",CY,Chengdu-Chongqing,middle
"2015",内江市,"420.43",CY,Chengdu-Chongqing,middle
"2016",内江市,"420",CY,Chengdu-Chongqing,middle
"2017",内江市,"415",CY,Chengdu-Chongqing,middle
"2018",内江市,"412",CY,Chengdu-Chongqing,middle
"2019",内江市,"408",CY,Chengdu-Chongqing,middle
"2020",内江市,,CY,Chengdu-Chongqing,middle
"2021",内江市,"403",CY,Chengdu-Chongqing,middle
"2022",内江市,"399",CY,Chengdu-Chongqing,middle
"2012",资阳市,"505.9",CY,Chengdu-Chongqing,middle
"2013",资阳市,"507.3",CY,Chengdu-Chongqing,middle
"2014",资阳市,"507.3",CY,Chengdu-Chongqing,middle
"2015",资阳市,"503.68",CY,Chengdu-Chongqing,middle
"2016",资阳市,"355",CY,Chengdu-Chongqing,middle
"2017",资阳市,"349",CY,Chengdu-Chongqing,middle
"2018",资阳市,"346",CY,Chengdu-Chongqing,middle
"2019",资阳市,"342",CY,Chengdu-Chongqing,middle
"2020",资阳市,,CY,Chengdu-Chongqing,middle
"2021",资阳市,"337",CY,Chengdu-Chongqing,middle
"2022",资阳市,"333",CY,Chengdu-Chongqing,middle
